  0.616788E-01  0.664804E+02  0.664804E+02  0.664804E+02      18
  0.107820E+00  0.324063E+02  0.324063E+02  0.324063E+02      62
  0.151481E+00  0.315845E+02  0.315845E+02  0.315845E+02      98
  0.196257E+00  0.173559E+02  0.173559E+02  0.173559E+02     210
  0.246377E+00  0.102571E+02  0.102571E+02  0.102571E+02     350
  0.295886E+00  0.689767E+01  0.689767E+01  0.689767E+01     450
  0.341793E+00  0.570234E+01  0.570234E+01  0.570234E+01     602
  0.387869E+00  0.461851E+01  0.461851E+01  0.461851E+01     762
  0.437763E+00  0.300511E+01  0.300511E+01  0.300511E+01    1142
  0.487834E+00  0.226044E+01  0.226044E+01  0.226044E+01    1250
  0.534616E+00  0.186333E+01  0.186333E+01  0.186333E+01    1458
  0.581396E+00  0.147084E+01  0.147084E+01  0.147084E+01    1814
  0.630484E+00  0.117411E+01  0.117411E+01  0.117411E+01    2178
  0.679250E+00  0.969505E+00  0.969505E+00  0.969505E+00    2498
  0.725784E+00  0.810464E+00  0.810464E+00  0.810464E+00    2622
  0.773540E+00  0.666588E+00  0.666588E+00  0.666588E+00    3338
  0.823184E+00  0.565371E+00  0.565371E+00  0.565371E+00    3722
  0.872517E+00  0.437192E+00  0.437192E+00  0.437192E+00    4170
  0.920069E+00  0.391146E+00  0.391146E+00  0.391146E+00    4358
  0.967539E+00  0.330202E+00  0.330202E+00  0.330202E+00    5034
  0.101653E+01  0.280271E+00  0.280271E+00  0.280271E+00    5714
  0.106505E+01  0.251754E+00  0.251754E+00  0.251754E+00    5982
  0.111270E+01  0.219919E+00  0.219919E+00  0.219919E+00    6602
  0.116041E+01  0.192533E+00  0.192533E+00  0.192533E+00    7130
  0.120902E+01  0.160602E+00  0.160602E+00  0.160602E+00    8034
  0.125801E+01  0.147040E+00  0.147040E+00  0.147040E+00    8606
  0.130635E+01  0.131800E+00  0.131800E+00  0.131800E+00    9066
  0.135461E+01  0.113181E+00  0.113181E+00  0.113181E+00    9962
  0.140308E+01  0.105055E+00  0.105055E+00  0.105055E+00   10550
  0.145116E+01  0.963640E-01  0.963640E-01  0.963640E-01   11226
  0.149928E+01  0.869709E-01  0.869709E-01  0.869709E-01   12146
  0.154725E+01  0.791660E-01  0.791660E-01  0.791660E-01   12606
  0.159532E+01  0.731074E-01  0.731074E-01  0.731074E-01   13802
  0.164415E+01  0.665855E-01  0.665855E-01  0.665855E-01   14754
  0.169257E+01  0.606918E-01  0.606918E-01  0.606918E-01   15194
  0.174072E+01  0.549525E-01  0.549525E-01  0.549525E-01   16454
  0.178926E+01  0.520330E-01  0.520330E-01  0.520330E-01   17154
  0.183761E+01  0.475218E-01  0.475218E-01  0.475218E-01   18266
  0.188555E+01  0.448112E-01  0.448112E-01  0.448112E-01   18750
  0.193365E+01  0.413508E-01  0.413508E-01  0.413508E-01   20234
  0.198236E+01  0.389167E-01  0.389167E-01  0.389167E-01   21450
  0.203093E+01  0.370054E-01  0.370054E-01  0.370054E-01   21962
  0.207919E+01  0.348541E-01  0.348541E-01  0.348541E-01   23462
  0.212737E+01  0.329506E-01  0.329506E-01  0.329506E-01   24042
  0.217595E+01  0.303585E-01  0.303585E-01  0.303585E-01   25946
  0.222419E+01  0.285706E-01  0.285706E-01  0.285706E-01   26118
  0.227195E+01  0.268470E-01  0.268470E-01  0.268470E-01   27506
  0.232002E+01  0.256942E-01  0.256942E-01  0.256942E-01   29066
  0.236882E+01  0.243815E-01  0.243815E-01  0.243815E-01   30450
  0.241757E+01  0.232569E-01  0.232569E-01  0.232569E-01   31742
  0.246571E+01  0.219741E-01  0.219741E-01  0.219741E-01   32250
  0.251396E+01  0.209172E-01  0.209172E-01  0.209172E-01   34250
